host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,price_per_bedroom,num_amenities
3739,75.0,100.0,False,1,4,True,True,42.65333,-73.77293,15,1,2,1.0,1.0,1.0,93.0,3,28,3,1125,3.0,1125.0,24,48,78,353,14,2,0,194,2,12,2575.0,228.0,4.86,4.93,5.0,5.0,5.0,4.93,4.71,False,1,0,1,0.17,93.0,34
3204,100.0,98.0,True,8,8,True,True,42.6543083190918,-73.78177642822266,16,1,2,1.0,1.0,1.0,54.0,2,1125,2,1125,2.0,1125.0,10,31,61,336,26,3,0,177,5,18,2334.0,275.0,5.0,5.0,4.92,5.0,5.0,4.96,4.92,False,8,2,6,0.34,54.0,43
3474,100.0,87.0,True,1,5,True,True,42.65821,-73.76917,16,1,1,1.0,1.0,1.0,75.0,1,1125,1,1125,1.0,1125.0,25,50,78,352,92,28,0,194,30,168,2487.0,126.0,4.95,4.95,4.97,4.99,5.0,4.96,4.96,False,1,0,1,1.13,75.0,35
4089,90.0,87.0,True,3,3,True,False,42.65464,-73.78348,16,1,2,1.0,1.0,1.0,59.0,1,730,1,730,1.3,730.0,0,0,0,94,271,22,1,31,28,132,2433.0,67.0,4.96,4.97,4.97,4.96,4.97,4.96,4.96,False,3,0,3,3.39,59.0,26
3591,100.0,99.0,True,11,13,True,True,42.64535,-73.75365,5,0,5,1.0,1.0,2.0,81.0,1,28,1,1125,2.1,1125.0,7,31,61,336,691,55,1,177,60,255,2426.0,52.0,4.79,4.87,4.83,4.86,4.91,4.72,4.81,False,9,9,0,8.68,81.0,55
3591,100.0,99.0,True,11,13,True,True,42.64535,-73.75365,7,0,3,1.0,0.1,1.0,56.0,1,28,1,1125,2.2,1125.0,17,40,70,343,628,67,8,184,66,255,2407.0,46.0,4.72,4.76,4.71,4.83,4.9,4.61,4.7,False,9,9,0,7.95,560.0,51
2597,100.0,75.0,False,2,2,True,True,42.6737,-73.75313,15,1,2,1.0,1.0,1.0,70.0,1,1125,1,1125,1.0,1125.0,12,18,48,134,7,1,0,87,1,6,2464.0,403.0,5.0,5.0,5.0,5.0,5.0,5.0,4.86,False,1,0,1,0.09,70.0,52
3997,100.0,98.0,True,4,7,True,True,42.65235,-73.76714,8,0,2,1.0,1.0,1.0,82.0,2,1125,1,1125,2.7,1125.0,28,46,76,351,107,17,2,192,9,102,2444.0,67.0,4.65,4.86,4.79,4.81,4.54,4.79,4.64,False,4,4,0,1.33,82.0,32
3204,100.0,98.0,True,8,8,True,True,42.6533,-73.78114,15,1,1,1.0,1.0,1.0,76.0,2,1125,2,1125,2.0,1125.0,11,39,69,344,68,0,0,185,4,0,2357.0,424.0,4.94,4.93,4.94,4.94,4.97,4.96,4.93,False,8,2,6,0.88,76.0,30
2789,100.0,80.0,False,1,2,True,True,42.67519,-73.82281,15,1,1,1.0,1.0,1.0,47.0,2,1125,2,1125,2.0,1125.0,0,0,0,237,32,5,1,78,2,30,2380.0,51.0,4.75,4.72,4.69,4.88,4.88,4.91,4.75,False,1,0,1,0.41,47.0,55
